url,target,gemini_status,fetch_status,creates_urgency,uses_threats,requests_sensitive_info,offers_unrealistic_rewards,has_spelling_grammar_errors,impersonated_brand,language_professionalism_score,overall_phishing_likelihood_score,summary_of_intent
https://www.tinywebgallery.com,1,OK,OK,False,False,False,False,False,,9.0,1.0,"The page appears to be a legitimate website providing information and downloads for web gallery and iframe plugins, with recent news about software updates and features."
http://www.madangfood.com,0,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://www.inference.vc,1,OK,OK,False,False,False,False,True,,6.0,1.0,"The page appears to be a personal or academic blog about machine learning and related topics, with no indication of malicious intent."
https://www.torforgeblog.com,1,Skipped_Due_To_Fetch_Error,Error_HTTP_403,,,,,,,,,
https://tinyurl.com/y98bytjf,0,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://www.luxresearchinc.com,1,Skipped_Due_To_Fetch_Error,Error_HTTP_403,,,,,,,,,
http://www.blog.s-se.ru,0,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
http://www.dba039c1.space,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.portsofcall.de,1,OK,OK,False,False,False,False,True,,5.0,2.0,"The page appears to be an informational and sales page for a series of simulation games called 'Ports Of Call', detailing different versions, licensing options, and related merchandise."
http://soumya252000.github.io/netflix/,0,Skipped_Due_To_Fetch_Error,Error_404,,,,,,,,,
https://www.301fw.afrc.af.mil,1,Skipped_Due_To_Fetch_Error,Error_HTTP_403,,,,,,,,,
https://www.bvb.ro,1,OK,OK,False,False,False,False,False,Bursa de Valori Bucuresti,9.0,1.0,"The page appears to be the official website of the Bucharest Stock Exchange, providing market data, company information, and news."
https://www.rackwarehouse.com,1,OK,OK,False,False,False,False,False,,8.0,1.0,"The intent of the page is to sell car racks and related accessories, providing product information, customer reviews, and contact details for customer support."
https://www.starline.ru,1,OK,OK,False,False,False,False,False,StarLine,9.0,1.0,"The page appears to be the official website for StarLine, providing information about their products, services, and company."
https://www.omearalondon.com,1,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://cloudflare-ipfs.com/ipfs/bafybeiekcocd54a5mnmfc7mlaoetnms4eyd7ekfashyod2jz2cnailceb4/,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.kingoscarcentralia.com,1,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
http://2023-1inch.com,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://infoc2cnazionale.com/ffbcdmozqke9vsr/core/06085/logonstep,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.brigittegastelancestry.com,1,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://www.studiopedis.com/wp-admin/inc/anti/torsion/,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://infura-ipfs.io/ipfs/qmvyvhv3bjqnzvw3si4xz3zicqpaxoaf9yhd23ektxxtot,0,Skipped_Due_To_Fetch_Error,Error_HTTP_400,,,,,,,,,
http://signup.breezstrime.com/,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
http://www.polandgrows.com,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.vindheim.net,1,OK,OK,False,False,False,False,False,,9.0,1.0,"The page appears to be a personal website or blog cataloging books, articles, and interests of an individual named Jan Bojer Vindheim, with options to purchase books via Vipps."
http://2019k365.com/,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.grand-deluxe.com,1,OK,OK,False,False,False,False,False,,9.0,1.0,The page appears to be a design agency's portfolio showcasing their past work and providing contact information.
https://www.petmagazine.it,1,OK,OK,False,False,False,False,False,,9.0,1.0,"The page appears to be a legitimate blog or magazine website dedicated to pets, offering articles, product information, and advice."
https://s.id/bpersicurezza,0,Skipped_Due_To_Fetch_Error,Error_404,,,,,,,,,
https://www.ericulous.com,1,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://www.frugalinfairfield.com,1,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
http://www.root.saltlakenews.org,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://dazzling-meitner.34-28-249-221.plesk.page/dierts,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.booniehicks.com,1,OK,OK,False,False,True,False,False,,8.0,6.0,"The page appears to be a legitimate website for a cooking blog, but includes a login form that could be used for credential harvesting if it were part of a phishing scheme."
https://www.newsrt.co.uk,1,OK,OK,False,False,False,False,True,,4.0,2.0,"The page appears to be a legitimate news aggregator website, though it contains some minor spelling and grammatical errors."
https://s3.amazonaws.com/appforest_uf/f1675093621849x357898073353937660/keepon.html,0,Skipped_Due_To_Fetch_Error,Error_HTTP_403,,,,,,,,,
https://www.mtlebanon.org,1,Skipped_Due_To_Fetch_Error,Error_HTTP_403,,,,,,,,,
https://www.projectyano.org,1,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://www.pncguam.com,1,OK,OK,False,False,False,False,False,,9.0,0.0,The page indicates that the website is currently under construction and asks for the user's patience.
http://tmmxcpjsez.duckdns.org/,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.igoryork.ru,1,OK,OK,False,False,False,False,False,,10.0,0.0,The text indicates a page is loading and does not contain any elements suggestive of a phishing attempt.
https://www.europetnet.org,1,OK,OK,False,False,False,False,False,,8.0,1.0,"The page appears to be a legitimate portal for pet registration and information across Europe, providing contact details and links to related services."
http://s.id/accedibper_info,0,Skipped_Due_To_Fetch_Error,Redirect_301,,,,,,,,,
https://quizfacil.com/m1-esp/?url=presell-tarjeta-banco-pichincha,0,Skipped_Due_To_Fetch_Error,Error_Request,,,,,,,,,
https://www.cillablack.com,1,OK,OK,False,False,False,False,False,Cilla Black,9.0,1.0,"The intent of the page is to provide news, music, and biographical information about Cilla Black, and to promote her music."
